羅馬字	漢字	頻率
ng	五	2
ng	兒	5
ng	爾	119
ng	耳	3
nga	外	2
ngah	扤	2
ngao	傲	1
ngeo	牛	1
ngwæn	頑	11
ngæn	眼	23
ngô	我	100
ni	呢	16
noh	儂	7
nyi	二	10
nyi	日	3
nyi	疑	1
nyiang	亮	2
nyiang	娘	5
nyiang	孃	28
nyiao	饒	5
nyih	孽	1
nyih	日	22
nyih	業	1
nyih	熱	1
nyin	年	8
nyin	扭	1
nying	人	76
nying	認	1
nying	銀	6
nyiæn	唸	1
nyiæn	廿	2
nyü	女	1
nyüing	𡢿	1
nyün	原	1
nyüoh	獄	1
nyüoh	肉	1
næ	耐	1
næn	難	21
oh	屋	17
pa	拜	13
pah	八	1
pah	百	14
pao	保	1
pao	寶	1
pe	悲	3
pe	杯	5
pe	背	1
pe	輩	1
peh	不	1
peh	撥	37
peng	奔	3
peng	本	3
pi	比	5
pih	壁	1
pih	必	5
pih	筆	4
pin	邊	9
ping	並	3
ping	餅	2
pun	半	7
pô	巴	6
pô	把	16
pông	幫	4
pʽa	派	3
pʽi	批	3
pʽin	騙	4
pʽoh	樸	2
pʽong	碰	2
pʽun	判	1
pʽô	怕	17
s	使	4
s	四	5
s	師	18
s	思	1
s	梳	4
s	賜	2
sah	煞	4
sang	生	39
se	碎	2
se	雖	41
seh	色	1
sen	碎	3
shih	設	1
shih	說	22
shoh	束	1
shông	傷	2
shông	爽	2
shông	雙	1
shü	世	9
shü	勢	2
shü	書	22
shü	歲	2
shü	貰	1
shü	輸	6
si	世	3
si	死	1
si	細	1
si	西	5
sia	㕐	7
sia	寫	1
siang	想	11
siang	相	7
siao	小	24
siao	少	8
siao	燒	1
siao	笑	4
sih	息	3
sih	惜	4
sin	先	27
sin	鮮	1
sing	信	4
sing	姓	2
sing	審	1
sing	心	25
sing	性	4
sing	新	1
sing	星	17
sing	聖	4
sing	聲	1
sing	身	5
siu	守	2
siu	手	7
siu	收	1
siu	脩	1
soh	啥	6
