羅馬字	漢字	頻率
læn	懶	1
læn	籃	1
læn	襤	1
lôh	落	18
lông	浪	3
l̆a	拉	1
m	嘸	39
ma	嗎	3
ma	買	6
mah	沒	1
mang	猛	5
mao	帽	1
mao	毛	1
mao	貌	5
me	梅	16
me	每	2
meh	末	1
meh	沒	3
meng	問	6
meng	聞	10
meng	門	3
meo	母	34
meo	謀	2
mi	未	1
mi	迷	1
mih	末	1
mih	滅	1
min	免	1
min	眠	2
min	面	5
ming	名	4
ming	命	8
ming	明	26
ming	鳴	1
mo	墓	5
mo	魔	3
moh	墨	2
moh	摸	1
moh	睦	1
mun	滿	1
mun	饅	1
mæn	慢	3
mô	碼	1
mô	馬	5
mô	麻	1
mông	忘	4
mông	望	3
nao	腦	1
neh	得	16
nen	內	1
nen	南	1
neng	能	15
ng	五	3
ng	兒	5
ng	爾	54
nga	外	2
ngen	岸	5
ngeo	偶	1
ngo	餓	1
ngwe	危	5
ngæ	呆	2
ngæn	眼	25
ngô	我	153
ngô	砑	5
ni	呢	9
nyi	二	1
nyi	泥	2
nyi	疑	1
nyi	議	1
nyiah	捏	1
nyiang	亮	2
nyiang	娘	3
nyiang	孃	26
nyiang	樣	1
nyiao	饒	5
nyih	日	23
nyih	熱	4
nyin	年	15
nying	人	78
nying	銀	1
nyü	女	2
nyü	語	1
nyüing	𡢿	5
nyün	軟	3
nyün	願	5
nyüoh	肉	2
næn	難	21
nô	喏	1
nön	囡	9
oh	屋	9
pa	拜	5
pa	擺	2
pah	八	2
pah	百	2
pao	保	6
pao	寶	2
pao	暴	4
pe	悲	8
pe	背	1
pe	貝	1
peh	不	9
peh	撥	19
peng	奔	9
peng	本	8
pi	比	10
pi	閉	1
pih	壁	1
pih	必	8
pin	遍	1
pin	邊	11
pun	半	3
pun	搬	1
pæn	班	1
pô	把	5
pông	幫	10
pông	榜	2
pʽah	拍	2
pʽin	篇	1
pʽin	騙	4
pʽong	碰	3
pʽô	怕	10
r	而	2
s	使	12
s	四	3
s	師	34
s	思	6
s	私	1
s	試	2
s	詩	1
s	賜	4
s	駛	7
sah	煞	10
sang	生	22
se	雖	5
seh	色	2
sen	碎	8
seo	瘦	2
shih	設	3
shih	說	16
shih	雪	1
shông	傷	6
shông	雙	1
shü	世	10
shü	書	30
shü	歲	3
shü	水	9
si	世	6
si	死	20
si	細	2
si	西	4
siah	削	2
siang	想	16
siang	相	17
siao	小	53
siao	少	2
siao	笑	2
sih	息	2
sih	悉	1
sih	惜	8
sih	釋	1
sin	先	7
sin	鮮	1
sing	信	2
sing	姓	2
sing	心	40
sing	性	6
sing	新	2
sing	星	20
sing	深	4
sing	聖	14
sing	聲	4
sing	身	7
siu	守	1
siu	手	6
siu	收	3
siu	首	1
so	唆	1
soh	啥	8
song	送	2
su	愫	1
su	數	2
su	穌	17
sæn	三	7
sæn	山	3
sæn	衫	1
sô	所	11
sô	捨	4
sô	沙	13
sô	舍	3
sô	赦	6
sông	孀	3
sön	算	2
tang	打	5
tao	倒	6
tao	刀	1
tao	到	56
tao	禱	3
te	對	2
teh	得	51
teh	掇	1
teh	答	1
teng	凳	3
teng	敦	1
teng	燈	25
teng	等	51
teng	鐙	1
teng	頂	2
teng	頓	1
teo	兜	1
tia	爹	53
tih	的	33
tin	店	5
tin	踮	1
tin	點	40
ting	仃	2
ting	盯	3
ting	頂	12
to	多	12
to	朵	1
to	躲	1
toh	督	1
tong	東	13
ts	之	7
ts	仔	23
ts	子	24
ts	指	3
ts	旨	1
ts	枝	1
tsah	窄	1
tsah	責	1
tsah	隻	2
tsao	早	5
tsao	糟	2
tsao	遭	17
tseng	尊	3
tseo	走	36
tsi	嚌	1
tsi	姊	2
tsi	濟	1
tsi	𣥼	1
tsia	姐	16
tsia	者	5
tsiang	仗	1
tsiang	將	1
tsiang	張	4
tsiang	漲	4
tsiao	招	1
tsiao	照	19
tsiao	礁	12
tsih	即	3
tsih	只	33
tsih	節	5
tsin	節	3
tsing	正	14
tsing	真	11
tsing	睛	5
tsing	進	7
tsiu	周	2
tsiu	酒	1
tso	做	26
tsong	種	1
tsong	總	11
tsu	阻	1
tsæ	再	26
tsæ	災	1
tsæ	載	1
tsæn	盞	23
tsô	詐	1
tsô	遮	1
tsôh	作	1
tsông	章	2
tsông	葬	7
tsông	裝	1
tsʽ	刺	1
tsʽah	尺	2
tsʽang	撐	2
tsʽao	草	1
tsʽeh	拆	1
tsʽeh	漆	3
tsʽeng	忖	29
tsʽeng	村	4
tsʽeng	襯	1
tsʽi	妻	3
tsʽia	且	2
tsʽiang	搶	2
tsʽih	七	1
tsʽih	切	6
tsʽih	慼	1
tsʽin	千	2
tsʽin	淺	3
tsʽing	清	4
tsʽing	親	4
tsʽing	請	5
tsʽô	差	5
tsʽô	瘥	1
tsʽön	竄	1
tu	都	26
tæ	歹	1
tæn	單	2
tæn	帶	3
tæn	擔	1
tæn	耽	4
tæn	膽	1
tô	朵	1
tông	擋	1
tông	當	2
tön	短	2
tön	端	2
tʽa	太	3
tʽah	塔	19
tʽah	𡍲	2
tʽe	退	2
tʽeh	脫	2
tʽiah	貼	1
tʽiao	挑	1
tʽiao	跳	1
tʽin	天	27
tʽing	聽	20
tʽoh	託	3
tʽong	痛	5
tʽong	通	2
tʽæ	梯	5
tʽông	湯	1
u	惡	1
u	烏	9
vah	伐	1
vah	罰	2
ve	𣍐	8
veh	物	5
veng	份	2
veng	墳	15
veng	文	1
vong	甮	2
vong	縫	1
vong	逢	1
vu	父	10
væn	凡	1
væn	犯	9
væn	萬	2
væn	飯	1
vông	亡	1
vông	房	17
vông	望	8
wa	還	22
we	位	3
we	回	2
we	惠	2
we	會	66
we	爲	22
we	違	3
weh	活	2
weng	魂	2
wu	護	4
wun	緩	2
wæn	患	1
wô	話	75
wông	惶	2
w̆a	壞	2
w̆e	慰	4
w̆æn	娃	5
w̆ông	往	1
yi	以	9
yi	又	19
yi	已	7
yi	遺	1
yia	也	48
yia	夜	6
yiah	藥	16
yiang	垟	2
yiang	揚	1
yiang	樣	8
yiang	洋	1
yin	沿	3
yin	現	3
yin	言	1
yin	顏	1
ying	引	4
yiu	佑	1
yiu	友	2
yiu	有	88
yiu	由	1
yiu	遊	1
yiæ	懈	1
yiæ	耶	17
yü	愈	2
yü	預	2
yü	餘	2
yüih	悅	1
yüih	月	1
yüih	穴	2
yüih	越	4
yüing	雲	1
yün	園	1
yün	緣	1
yün	遠	2
yüoh	慾	1
yüong	用	14
yüô	雅	13
z	事	10
z	字	3
z	是	134
z	時	35
z	自	3
ze	罪	19
zi	自	27
zia	謝	2
ziah	弱	3
ziah	若	6
ziang	像	13
zin	前	7
zing	城	1
zing	尋	5
zing	曾	7
zing	辰	2
zing	靜	1
ziu	就	67
zo	坐	9
zo	座	6
zông	上	37
zông	晌	5
zông	牀	2
zông	裳	1
æ	哀	3
æ	愛	6
ô	椏	1
ô	𢛟	1
ôh	惡	4
ü	於	1
ü	椅	1
üong	永	1
üô	亞	1
ʽah	何	5
ʽah	狹	1
ʽang	行	2
ʽao	號	1
ʽen	汗	1
ʽeo	候	19
ʽeo	後	11
ʽo	何	1
ʽo	和	6
ʽoh	學	2
ʽoh	或	5
ʽong	鴻	1
ʽæ	害	1
ʽô	下	7
ʽôh	惑	1
ʽông	行	1
