羅馬字	漢字	頻率
a	挨	2
ah	阿	182
ao	懊	3
ao	拗	4
ba	排	2
ba	敗	3
ba	牌	36
bah	拔	2
bah	白	9
bang	棚	6
bang	碰	5
bang	𦗭	1
bao	抱	2
bao	暴	2
be	佩	1
be	倍	5
be	備	10
be	被	16
be	賠	15
beng	朋	2
beng	盆	9
bi	皮	18
bi	避	5
bih	別	14
bih	鼻	2
bin	便	5
bin	辯	1
bing	並	1
bing	平	1
bing	憑	6
bing	瓶	1
bing	病	5
bo	縛	7
boh	伏	2
boh	僕	23
boh	雹	16
bong	篷	116
bu	哺	1
bu	步	3
bu	葡	3
bu	部	2
bun	盤	9
bun	磐	2
bun	蒲	1
bæn	辦	29
bô	爬	2
bông	旁	1
cing	准	4
cing	震	1
coh	折	1
coh	桌	19
coh	祝	4
coh	給	1
cong	中	62
cong	種	13
cong	終	1
cong	衆	44
công	壯	1
công	掌	2
cü	主	27
cü	嘴	9
cü	子	9
cü	智	5
cü	株	3
cü	知	4
cü	鑄	11
cün	專	2
cün	磚	7
cün	轉	26
cün	鑽	1
cʽih	出	256
cʽoh	觸	3
cʽong	充	11
cʽong	寵	1
cʽông	闖	2
cʽü	取	21
cʽü	吹	5
cʽü	娶	5
cʽü	處	12
cʽün	穿	30
cʽün	竄	1
cʽün	釧	1
da	埭	14
da	大	23
dah	踏	2
dah	達	2
dang	宕	3
dao	導	1
dao	盜	3
dao	稻	1
dao	萄	3
dao	逃	4
dao	道	23
de	了	64
de	隊	18
deh	凸	2
deh	奪	1
deh	特	2
den	頭	7
deng	庉	25
deng	藤	1
deo	頭	299
di	地	188
di	弟	6
di	提	7
di	第	57
di	蹄	1
diao	掉	51
diao	條	9
dih	敵	9
din	填	2
din	奠	5
din	殿	3
din	甜	1
din	田	29
din	甸	5
din	鈿	5
din	電	2
ding	停	1
ding	定	51
djih	絕	3
djoh	族	2
djoh	着	60
djoh	逐	2
djong	蟲	10
djong	重	20
djô	搽	10
djông	常	4
djü	住	25
djü	垂	2
djü	柱	45
djü	除	16
djün	傳	10
djün	全	10
do	墮	2
do	大	42
do	惰	3
do	馱	64
do	駝	1
doh	毒	3
doh	瀆	1
doh	獨	2
doh	讀	2
dong	動	25
dong	同	8
dong	桶	1
dong	洞	7
dong	童	1
dong	筒	4
dong	銅	41
du	圖	1
du	塗	4
du	度	2
du	肚	1
dz	慈	3
dza	咋	30
dzeh	雜	1
dzi	池	2
dzi	遲	1
dziah	着	2
dziang	丈	18
dziang	場	3
dziang	杖	25
dziang	長	32
dziao	召	1
dziao	朝	22
dziao	潮	12
dzih	嫉	3
dzih	直	10
dzin	纏	3
dzing	仍	9
dzing	剩	16
dzing	城	4
dzing	塵	4
dzing	情	10
dzing	成	7
dzing	沉	2
dzing	程	6
dzing	臣	21
dzing	誠	3
dzing	陣	1
dziu	仇	8
dziu	就	1
dzoh	族	8
dzong	從	65
dzong	頌	1
dzu	助	6
dzæ	在	3
dzæ	才	2
dzæ	纔	1
dzæ	財	2
dzô	蛇	5
dzông	臟	3
dæ	代	52
dæ	待	6
dæ	抬	17
dæ	臺	21
dæn	但	36
dæn	壇	66
dæn	淡	2
dô	大	32
dông	堂	1
dông	糖	5
dông	蕩	25
dön	團	36
dön	斷	4
dön	段	2
en	安	48
en	按	3
en	暗	12
en	案	24
eng	恩	38
eo	謳	39
fah	法	160
fah	發	16
feh	弗	293
feng	分	17
feng	吩	85
feng	粉	8
feng	糞	1
fi	費	1
fi	非	7
fi	飛	3
foh	幅	27
foh	福	7
foh	覆	1
fong	蜂	1
fong	風	9
fu	付	5
fu	傅	23
fu	咐	85
fu	夫	7
fu	膚	2
fæn	反	2
fông	放	64
fông	方	145
fông	枋	4
fông	紡	2
gao	絞	1
go	個	1852
gong	共	9
gwa	怀	4
gwah	刮	4
gyi	其	965
gyi	奇	10
gyi	忌	2
gyi	騎	4
gyiang	強	2
gyiang	滰	20
gyiang	犟	4
gyih	及	179
gyin	件	5
gyin	健	1
gying	近	16
gyiu	求	30
gyiu	舊	9
gyü	懼	7
gyü	拒	3
gyüih	倔	4
gyüih	掘	2
gyüih	橛	2
gyüih	𧤼	9
gyün	拳	1
gyün	權	1
gyüong	窮	6
ha	哈	6
hah	喝	5
hah	瞎	2
hao	好	220
heh	赫	8
heh	黑	4
hen	罕	9
ho	火	35
ho	貨	2
hoh	𢞕	3
hong	哄	1
hwe	悔	3
hwe	毀	3
hwe	灰	8
hwe	賄	2
hweh	忽	2
hwu	呼	1
hwun	歡	4
hwun	花	8
hwô	花	43
hwông	荒	1
hwông	謊	1
hyi	喜	4
hyi	嬉	2
hyi	希	28
hyiang	向	73
hyiang	響	25
hyiang	香	38
hyiao	曉	36
hyiao	𢳚	1
hyih	歇	5
hyin	杴	2
hyin	獻	44
hyin	險	1
hyin	顯	13
hying	欣	3
hying	興	3
hyiæ	駭	1
hyü	許	14
hyüih	血	26
hyüong	兄	6
hyüong	嗅	2
hyüong	胸	28
hæ	海	38
i	依	22
i	意	4
i	衣	46
i	醫	2
iah	押	1
iah	約	55
iang	養	5
iao	腰	6
iao	要	293
ih	一	297
ih	揖	1
in	煙	5
in	鵪	1
ing	印	7
ing	因	88
ing	應	8
ing	英	1
ing	蠅	7
ing	隱	1
ing	音	6
ing	鷹	1
iu	憂	3
iæ	野	26
jih	十	84
jih	實	7
jih	日	1
jih	術	6
jing	忍	1
jing	慎	1
jing	神	148
jing	純	2
jing	脣	2
jing	順	13
jing	鶉	1
joh	屬	7
joh	贖	25
jü	乳	2
jü	如	13
jü	序	2
jü	樹	11
jü	聚	9
jü	誰	15
jün	善	42
jün	然	13
ka	介	244
ka	戒	1
ka	界	16
ka	街	1
kah	夾	4
kah	格	1
kah	甲	2
kah	胛	6
kah	隔	5
kang	更	1
kao	交	4
kao	告	13
kao	教	5
kao	酵	28
kao	高	15
keh	割	11
keh	合	1
keh	箇	374
keh	革	4
ken	幹	33
ken	感	2
ken	敢	1
ken	橄	3
ken	甘	3
ken	稈	12
ken	竿	1
ken	肝	1
ken	趕	20
keng	更	1
keng	根	25
keng	跟	5
keo	勾	2
keo	夠	14
keo	狗	8
keo	鈎	23
keo	鉤	1
ko	個	11
ko	哥	10
ko	果	17
ko	歌	5
ko	過	44
koh	各	31
koh	國	44
koh	擱	5
koh	角	26
kong	供	6
kong	公	49
kong	宮	1
kong	工	20
kong	攻	3
kwa	拐	25
kwang	梗	5
kwe	桂	2
kwe	歸	6
kwe	規	1
kwe	貴	2
kweh	骨	3
kweng	棍	1
kwu	姑	2
kwu	孤	2
kwu	故	7
kwu	股	2
kwu	雇	1
kwu	顧	3
kwu	鼓	2
kwun	冠	2
kwun	官	6
kwun	管	11
kwun	脘	5
kwæn	關	2
kwô	寡	2
kwô	掛	9
kwông	光	13
kwʽa	快	15
kwʽe	塊	57
kwʽe	盔	2
kwʽeh	闊	24
kwʽeng	困	1
kwʽeng	睏	3
kwʽu	庫	1
kwʽu	枯	1
kwʽu	苦	12
kwʽu	褲	2
kwʽun	寬	5
kwʽông	曠	26
kyi	基	19
kyi	季	1
kyi	幾	5
kyi	既	2
kyi	機	4
kyi	紀	3
kyi	繫	5
kyi	肌	2
kyi	計	1
kyi	記	20
kyiah	腳	23
kyiah	莢	28
kyiao	叫	5
kyiao	驕	2
kyih	今	11
kyih	擊	2
kyih	潔	8
kyih	激	2
kyih	結	3
kyin	劍	1
kyin	建	1
kyin	肩	8
kyin	見	76
kyin	間	2
kying	今	2
kying	敬	3
kying	斤	1
kying	經	42
kying	謹	1
kying	警	1
kying	金	110
kying	鏡	1
kying	頸	2
kying	驚	1
kyiu	久	3
kyiu	九	1
kyiu	救	15
kyiæ	戒	1
kyiæ	誡	2
kyü	句	1
kyü	據	6
kyü	歸	9
kyü	矩	1
kyüih	決	1
kyüing	軍	1
kyün	眷	1
kyüoh	覺	1
kyüô	加	2
kyüô	迦	15
kyʽi	去	172
kyʽi	器	32
kyʽi	棄	2
kyʽi	氣	11
kyʽi	豈	2
kyʽi	起	85
kyʽiao	巧	9
kyʽih	喫	4
kyʽin	愆	2
kyʽin	牽	3
kyʽing	輕	2
kyʽüih	缺	2
kyʽün	圈	80
kyʽüoh	喫	82
kyʽüoh	曲	5
kæ	蓋	19
kæ	該	20
kæn	姦	1
kæn	揀	6
kæn	減	5
kæn	監	1
kæn	間	38
kæn	階	1
kô	假	2
kô	價	1
kô	加	18
kô	家	89
kông	剛	2
kông	槓	26
kông	江	2
kông	講	52
kông	降	15
kʽah	客	3
kʽang	揞	6
kʽao	拷	2
kʽao	敲	3
kʽao	靠	2
kʽeh	刻	23
kʽeh	喀	19
kʽeh	渴	2
kʽeh	磕	1
kʽen	看	105
kʽeng	懇	9
kʽeng	肯	48
kʽeo	口	65
kʽeo	扣	18
kʽeo	釦	1
kʽo	可	98
kʽoh	哭	2
kʽoh	擴	1
kʽong	孔	11
kʽong	恐	12
kʽong	空	7
kʽæ	開	72
kʽæn	嵌	11
kʽæn	鉛	1
kʽô	抲	5
kʽông	囥	10
lah	勒	1
lah	拉	580
lao	佬	1
lao	勞	3
lao	老	143
le	雷	7
leh	了	62
leh	勒	105
leng	倫	124
leng	崙	1
leng	論	10
leng	輪	1
li	例	17
li	利	52
li	厲	1
li	哩	3
li	淚	2
li	禮	28
li	裏	322
li	離	40
li	驢	12
li	麗	3
liah	掠	4
liang	亮	11
liang	兩	128
liang	糧	6
liang	量	3
liao	了	4
liao	料	11
lih	列	181
lih	力	13
lih	律	30
lih	烈	3
lih	立	62
lin	憐	4
lin	簾	14
lin	連	107
lin	鏈	8
ling	令	4
ling	另	2
ling	林	8
ling	琳	3
ling	臨	3
ling	鄰	15
ling	鈴	7
ling	陵	1
ling	零	1
ling	靈	8
ling	領	58
liu	榴	8
liu	流	10
liu	留	14
lo	擄	4
lo	羅	11
loh	六	32
loh	綠	2
loh	落	85
loh	錄	2
loh	陸	1
loh	駱	1
long	弄	3
long	攏	119
long	聾	1
lu	爐	8
lu	蘆	3
lu	賂	2
lu	路	39
lu	露	3
læ	來	675
læn	懶	3
læn	欖	3
læn	籃	4
læn	藍	34
læn	蘭	6
lön	亂	4
l̆a	拉	1
m	嘸	91
ma	嗎	12
ma	買	62
ma	賣	6
mah	沒	2
mah	麥	16
mang	猛	9
