羅馬字	漢字	頻率
kʽen	看	88
kʽeng	肯	28
kʽeo	口	10
kʽeo	扣	8
kʽo	䯊	4
kʽo	可	10
kʽo	窠	1
kʽoh	哭	3
kʽong	孔	6
kʽong	恐	9
kʽæ	開	17
kʽô	抲	1
la	剌	1
lah	拉	74
lang	冷	3
lao	癆	1
lao	老	13
le	𨀤	2
leh	了	36
leh	勒	85
leng	論	5
li	利	8
li	厲	5
li	櫚	1
li	淚	6
li	理	191
li	禮	8
li	裏	122
li	離	3
liang	亮	4
liang	兩	22
liang	涼	3
liang	量	3
liao	䩍	2
liao	了	4
lih	力	2
lih	咧	2
lih	立	4
lin	憐	5
lin	連	6
ling	另	3
ling	林	1
ling	零	1
ling	靈	12
ling	領	5
liu	流	3
liu	留	2
lo	擄	2
lo	籮	1
lo	羅	4
loh	六	8
loh	綠	4
long	弄	22
long	攏	19
long	朧	1
lu	爐	1
lu	路	12
læ	來	217
læn	爛	1
læn	藍	2
lô	落	1
lôh	落	26
lông	狼	1
lông	螂	1
lön	亂	1
l̆a	拉	2
m	嘸	70
m	姆	4
ma	嗎	4
ma	買	4
mah	襪	1
mang	猛	1
mao	帽	1
mao	毛	3
mao	貌	10
mao	錨	1
me	梅	1
me	每	6
me	美	2
meng	問	21
meng	悶	6
meng	捫	1
meng	聞	14
meng	門	27
meo	母	35
meo	茂	1
mi	味	1
mi	咪	6
mi	未	1
mi	米	1
mi	迷	4
mih	末	3
mih	蜜	1
min	免	1
min	眠	6
min	面	20
ming	名	7
ming	命	5
ming	明	37
mo	摩	1
mo	碼	1
mo	魔	2
moh	木	6
moh	牧	1
moh	睦	4
mun	滿	1
mun	饅	1
mæ	買	1
mæn	慢	6
mæn	晚	1
mô	馬	10
mông	忘	4
mông	忙	1
mông	望	6
na	奶	10
na	嬲	4
na	那	7
nao	得好	4
nao	鬧	1
neh	得	25
nen	男	1
neng	能	16
ng	五	4
ng	兒	5
ng	爾	136
nga	外	14
ngang	硬	1
ngao	傲	2
ngen	岸	3
ngeo	偶	1
ngeo	牛	1
ngæ	呆	1
ngæn	眼	40
ngô	我	195
ngô	瓦	1
ngô	芽	1
ni	呢	9
noh	儂	6
nyi	二	8
nyi	尼	1
nyi	泥	2
nyi	議	1
nyiah	捏	1
nyiang	亮	6
nyiang	央	1
nyiang	娘	56
nyiang	孃	42
nyiang	樣	9
nyiao	饒	2
nyih	孽	2
nyih	日	74
nyih	熱	5
nyin	年	15
nyin	扭	1
nying	人	181
nying	認	5
nying	迎	1
nying	銀	1
nyiæn	廿	4
nyiæn	念	1
nyü	女	4
nyü	愚	1
nyüing	𡢿	2
nyün	軟	5
nyün	願	4
nyüoh	獄	5
nyüoh	肉	3
næ	耐	3
næn	難	17
nô	喏	1
nô	囡	3
nön	囡	14
o	捼	2
oh	屋	17
oh	惡	2
pa	拜	17
pa	擺	1
pah	八	3
pah	百	11
pao	保	3
pao	報	3
pao	寶	4
pao	豹	1
pe	悲	1
pe	碑	4
pe	背	4
pe	貝	3
peh	不	1
peh	撥	77
